"titre_clean","auteurs","annee_extrait","type_doc_std","mots_cles","methode_instruments","methode_analyse"
"lexpérience de participation des parents à triple p de groupe","Habib, Rima / Clément, Marie-Ève / Gagné, Marie-Hélène",2017,"Article","programme / intervention / éducation parentale / intervenant | intervenante / parent | parents / soutien / perception / pratique parentale","Guide d’entretien semi-directif","Analyse de contenu"
"mauvais traitements subis dans lenfance et problèmes de santé mentale à lâge adulte : une étude nationale conduite auprès des québécoises","Paquette, Geneviève / Tourigny, Marc / Baril, Karine / Joly, Jacques / Séguin, Monique",2017,"Article","maltraitance / enfance / femme / dépression / syndrome de stress post-traumatique / violence conjugale / adulte","Questionnaire","Analyse statistique"
"attachement romantique et qualité de vie sexuelle à ladolescence : le rôle de la communication des besoins sexuels","Théorêt, Valérie / Hébert, Martine / Fernet, Mylène",2017,"Article","adolescence / relation amoureuse / sexualité / attachement / communication / montréal / couple / différence de sexe","Questionnaires","Analyse statistique"
"les interventions destinées à la mobilisation des parents denfants recevant des services de réadaptation avec hébergement en centre jeunesse : rapport dévaluation des technologies et des modes dintervention en services sociaux (etmiss)","Maltais, Christine / Parent, Geneviève / Cyr, Chantal",2017,"Autre","intervention / réadaptation / réunification familiale / engagement parental / relation parent-enfant / ciusss | cisss / contact parent-enfant",NA,"Réflexion critique"
"conflits au sein des relations de couple","Brassard, Audrey / Houde, Fanie",2017,"Autre","couple / conjugalité / satisfaction conjugale / conjoint | conjointe / relation conjugale / communication / résolution de conflit / conséquence",NA,"Réflexion critique"
"intervenir en situation de crise familiale : selon une approche écosystémique","Pauzé, Robert / Touchette, Luc / Desautels, Julien",2017,"Autre","modèle écologique / approche écosystémique / enfant / adolescent | adolescente / intervention / problème familial / protection de la jeunesse / montérégie / crise",NA,"Réflexion critique"
"emotion regulation in at-risk mother-child dyads during middle childhood: associations with concurrent functioning and adolescent outcomes","August, Elana G.",2017,"Thèse/Mémoire","relation parent-enfant / émotion / agression / développement émotionnel / transmission intergénérationnelle / comportement à risque / stress maternel / approche longitudinale","- Questionnaire- Grille d’observation","Analyse statistique"
"paternité chez des jeunes de la rue : au cœur de la répétition, un paradoxe identitaire et la mise à mal du lieu de lintimité","Gagnon, Eveline",2017,"Thèse/Mémoire","jeune parent | jeunes parents / paternité / parentalité / itinérance / identité / jeune de la rue / transmission intergénérationnelle / montréal","Guide d’entretien semi-directif","Analyse de contenu"
"de la clandestinité de lamour pour les familles à lintérieur du dispositif de protection de lenfance au québec","Lacharité, Carl",2017,"Article","amour / protection de la jeunesse / relation parent-intervenant | intervenante / institution / pratique",NA,"Réflexion critique"
"shared parenting in canada: increasing use but continued controversy","Bala, Nicholas / Birnbaum, Rachel / Poitras, Karine / Saini, Michael / Cyr, Francine / Leclair, Shawna",2017,"Article","divorce / rupture / garde de l’enfant / garde partagée / canada-québec / droit de la famille",NA,"Analyse statistique"
"professionals positive perceptions of fathers are associated with more favourable attitudes towards including them in family interventions","De Montigny, Francine / Gervais, Christine / Meunier, Sophie / Dubeau, Diane",2017,"Article","père / paternité / professionnel | professionnelle / services sociaux / intervention / implication / attitude","Questionnaire","Analyse statistique"
"peer positive control and mens health-promoting behaviour","Houle, Janie / Meunier, Sophie / Coulombe, Simon / Mercerat, Coralie / Gaboury, Isabelle / Tremblay, Gilles / De Montigny, Francine / Cloutier, Lyne / Roy, Bernard / Auger, Nathalie / Lavoie, Brigitte",2017,"Article","santé / mode de vie / comportement / homme / soutien social / facteur social / conjoint | conjointe / pair","- Guide d’entretien semi-directif- Questionnaire","Analyse statistique"
"comprendre larticulation des réseaux autour dun centre intégré universitaire de santé et services sociaux (ciusss) pour renforcer les liens sociaux avec des personnes âgées vulnérables","Audy, Émilie / Couturier, Yves / Guay, Jean-François / Béliveau, Stéphanie / René, Nicole",2017,"Autre","montréal / clsc / intervenant | intervenante / ciusss / aîné | aînée / vieillesse / proche aidant | proche aidante / réseau","Guide d’entretien semi-directif","Analyse de contenu"
"ruptures amoureuses","Eid, Patricia / Lachance-Grzela, Mylène",2017,"Autre","couple / conjugalité / relation conjugale / rupture / divorce / séparation",NA,"Réflexion critique"
"le lien entre lindépendance émotionnelle vis-à-vis chacun des parents, les capacités dintimité avec les amis ainsi que les partenaires et la détresse psychologique chez les jeunes femmes âgées entre 18 et 25 ans","Gurreri, Stella",2017,"Thèse/Mémoire","jeune adulte / développement émotionnel / parent | parents / influence parentale / intimité / partenaire / montréal / détresse psychologique","Questionnaires","Analyse statistique"
"les comportements dinsensibilité à lâge scolaire","Henry, Jeffrey",2017,"Thèse/Mémoire","génétique / sensibilité / comportement parental / relation parent-enfant / environnement / montréal / trouble de comportement","Questionnaires","Analyse statistique"
"relations entre familles et professionnelles lors de la transition dun centre de la petite enfance vers lécole maternelle : une étude de cas québécoise","Lehrer, Joanne / Bigras, Nathalie / Laurin, Isabelle",2017,"Autre","transition / service de garde / maternelle / collaboration école-famille / éducateur | éducatrice / période préscolaire / mère / petite enfance","Guide d’entretien semi-directif","Analyse de contenu"
"previous pregnancy outcomes and subsequent pregnancy anxiety in a quebec prospective cohort","Shapiro, Gabriel D. / Séguin, Jean R. / Muckle, Gina / Monnier, Patricia / Fraser, William D.",2017,"Article","périnatalité / grossesse / anxiété / naissance / fausse-couche / avortement / dépression post-partum","Questionnaire","Analyse statistique"
"childhood predictors of adult psychopathy scores among males followed from age 6 to 33","Bamvita, Jean-Marie / Larm, Peter / Checknita, Dave / Vitaro, Frank / Tremblay, Richard E. / Côté, Gilles / Hodgins, Sheilagh",2017,"Article","prédicteur / psychopathie / garçon / homme / approche longitudinale / criminalité / parent | parents","Questionnaires","Analyse statistique"
"who uses early childhood education and care services? comparing socioeconomic selection across five western policy contexts","Petitclerc, Amélie / Côté, Sylvana / Doyle, Orla / Burchinal, Margaret / Herba, Catherine / Zachrisson, Henrik Daae / Boivin, Michel / Tremblay, Richard E. / Tiemeier, Henning / Jaddoe, Vincent / Raat, Hein",2017,"Article","soin / éducation / socioéconomique / politique gouvernementale / politique familiale / congé parental / programme social / condition de vie",NA,"Analyse statistique"
"profils de personnalité de femmes auteures de crimes violents selon le lien avec la victime","Trébuchon, Clémentine / Léveillée, Suzanne",2017,"Article","lanaudière / montréal / criminalité / femme / violence familiale / trouble de la personnalité limite | tpl / impulsivité","Questionnaires","Analyse statistique"
"parentalité. défis des conjoints et position mentalisante","Ensink, Karin / Dugal, Caroline / Lebel, Vicky / Biberdzic, Marko / Normandin, Lina",2017,"Autre","couple / relation conjugale / parentalité / conjugalité / parent | parents / satisfaction conjugale / mentalisation / détresse",NA,"Réflexion critique"
"étude de la relation entre lempathie cognitive et la satisfaction sexuelle chez les couples hétérosexuels","Leathead, Carolyn",2017,"Thèse/Mémoire","empathie / cognition / satisfaction conjugale / relation sexuelle / hétérosexualité / conjugalité / sexualité","Questionnaire","Analyse statistique"
"caractéristiques parentales associées aux comportements maternels atypiques : linfluence du fonctionnement réflexif parental et de lorientation mentale maternelle","Roy, Julie",2017,"Thèse/Mémoire","capitale-nationale / maternité / mentalisation / influence parentale / comportement parental / relation mère-enfant / fonctionnement réflexif","- Grille d’observation- Questionnaires","Analyse statistique"
"les contacts parent-enfant suite au placement en famille substitut : liens avec la stabilité du placement","Poitras, Karine / Tarabulsy, George M.",2017,"Article","ciusss | cisss / famille d’accueil / réunification familiale / engagement parental / protection de la jeunesse / contact parent-enfant / attachement / lien familial","Questionnaire","Analyse statistique"
"mémoire familiale chez des jeunes parents en difficulté : mécanismes de représentation et de narration dune histoire familiale tourmentée","Baret, Caroline / Gilbert, Sophie",2017,"Article","jeune de la rue / itinérance / histoire familiale / mémoire familiale / parentalité / montréal / parent | parents / représentation","Guide d’entretien semi-directif","Analyse de contenu"
"épidémiologie des troubles dépressifs et anxieux chez les enfants et les adolescents québécois","Piché, Geneviève / Cournoyer, Marilou / Bergeron, Lise / Clément, Marie-Ève / Smolla, Nicole",2017,"Article","épidémiologie / dépression / anxiété / adolescent | adolescente / relation parent-enfant / pratique parentale / santé mentale",NA,"Réflexion critique"
"fonctionnement de couple chez les individus en relation de même sexe","Gabbay, Nicolas / Lafontaine, Marie-France / Péloquin, Katherine / Flesch, Jamie Lyn / Fitzpatrick, Josée",2017,"Autre","couple / conjugalité / satisfaction conjugale / homosexualité / attachement / relation conjugale / sexualité / homoparentalité",NA,"Réflexion critique"
"étude exploratoire des effets du programme grandir ensemble et portrait des jeunes orientés vers ce programme multimodal de préservation de la famille offert au centre jeunesse de montréal-institut universitaire (cjm-iu)","Morin, Julie",2017,"Thèse/Mémoire","montréal / adaptation socioémotionnelle / trouble de comportement / habileté sociale / évaluation / relation parent-enfant / ciusss | cisss / pratique parentale","Questionnaires","Analyse statistique"
"partageons le fruit de nos expériences","Charest, Émilie / Charest Belzile, Dorothée",2017,"Autre","résilience / violence psychologique / intervention / protection de la jeunesse / parent | parents / santé mentale / engagement parental",NA,"Réflexion critique"
"violence masculine au cœur de la relation intime en tant que domaine inhospitalier : regard herméneutique sur deux points de vue qualitativement différents et complémentaires","Gauthier, Robert",2017,"Thèse/Mémoire","violence familiale / violence conjugale / homme violent / thérapie / intervention / rapport homme-femme / savoir",NA,"Réflexion critique"
"alcohol use among inuit pregnant women: validity of alcohol ascertainment measures over time","Fortin, Marilyn / Muckle, Gina / Jacobson, Sandra W. / Jacobson, Joseph L. / Bélanger, Richard E.",2017,"Article","nunavik / nord-du-québec / inuit / grossesse / maternité / alcool / développement de l’enfant / santé",NA,"Analyse statistique"
"femmes auteures dun homicide conjugal : caractéristiques criminologiques et motivations","Léveillée, Suzanne / Trébuchon, Clémentine",2017,"Article","homicide conjugal / violence conjugale / femme / motivation / difficulté / justice / homicide","Grille d’analyse","Analyse statistique"
"le temps dans la thérapie conjugale et familiale psychanalytique","Veillette, Anny",2017,"Article","temporalité / couple / vécu / thérapie de couple / thérapie familiale",NA,"Réflexion critique"
"fonctionnement conjugal et problèmes de santé mentale","Bélanger, Claude / El-Baalbai, Ghassan / Gravel Crevier, Myra / Marcaurelle, Roger",2017,"Autre","couple / conjugalité / relation conjugale / anxiété / santé mentale / détresse / dépression",NA,"Réflexion critique"
"fonctionnement conjugal et problèmes de santé. diabète, douleur chronique et maladie coronarienne","Lafontaine, Marie-France / Greenman, Paul S. / Péloquin, Katherine / Nouwen, Arie / Bélanger, Claude",2017,"Autre","couple / conjugalité / relation conjugale / diabète / santé physique / détresse / douleur",NA,"Réflexion critique"
"analyse des composantes caractérisant la clientèle dite multiproblématique dans un contexte dorganisation de services dans le réseau de la santé et des services sociaux","Moreau, Isabelle",2017,"Thèse/Mémoire","mauricie / centre-du-québec / santé / services sociaux / problème de comportement / soutien familial / réseau social / facteur de risque",NA,"Analyse statistique"
"interface travail-famille et santé psychologique au travail : investigation de la directionalité des liens","Champagne, Émilie",2017,"Thèse/Mémoire","conciliation famille-travail / rôle familial / épuisement / bien-être / santé mentale","Questionnaires","Analyse statistique"
"implementating the evidence-based triple p - positive parenting program. diversity in practitioners experiences","Côté, Marie-Kim / Gagné, Marie-Hélène",2017,"Autre","programme / compétence parentale / habileté parentale / pratique parentale / relation parent-intervenant | intervenante / professionnel | professionnelle / protection de la jeunesse / relation parent-enfant","- Guide d’entretien semi-directif- Guide d’entretien de groupe","Analyse de contenu"
"le rôle des centres de la petite enfance dans la préparation de la transition vers la maternelle des enfants et de leurs familles","Lehrer, Joanne / Bigras, Nathalie / Laurin, Isabelle",2017,"Article","période préscolaire / maternelle / service de garde / collaboration école-famille / responsabilité parentale / éducateur | éducatrice / petite enfance / montréal","Guide d’entretien semi-directif","Analyse de contenu"
"ces jeunes qui restent après le suicide dun proche","Léonard, Maude / Hamel, Virginie",2017,"Autre","suicide / thérapie / adaptation / intervention psychosociale / deuil / comportement perturbateur / adolescence / enfance",NA,"Réflexion critique"
"le sentiment de culpabilité propre au conflit travail-famille : ressourçant pour les enfants et épuisant pour les parents?","Foucreault, Annie",2017,"Thèse/Mémoire","infirmier | infirmière / conciliation famille-travail / relation parent-enfant / temps sociaux / culpabilité / solidarité conjugale / rôle parental","Questionnaire","Analyse statistique"
"associations longitudinales entre la relation coparentale et la qualité de lamitié de lenfant à lâge scolaire","Perrier, Rachel",2017,"Thèse/Mémoire","style parental / amitié / satisfaction conjugale / statut socioéconomique / approche longitudinale / coparentalité / relation parent-enfant","Questionnaire","Analyse statistique"
"gender differences in risk factors for cigarette smoking initiation in childhood","Sylvestre, Marie-Pierre / Wellman, Robert J. / O’loughlin, Erin K. / Dugas, Erika N. / O’loughlin, Jennifer",2017,"Article","tabagisme / facteur de risque / préadolescence / influence parentale / fratrie / montréal / genre","Questionnaire","Analyse statistique"
"fathers perspectives regarding their childrens exposure to intimate partner violence","Bourassa, Chantal / Letourneau, Nicole / Holden, George / Turcotte, Pierre",2017,"Article","violence conjugale / violence familiale / relation père-enfant / paternité / intervention / effet / protection / homme violent","Guides d’entretien semi-directif","Analyse de contenu"
"une etmiss sur la mobilisation des parents denfants hébergés en milieu substitut : quelles interventions sont les plus efficaces?","Maltais, Christine / Parent, Geneviève / Cyr, Chantal",2017,"Article","intervention / protection de la jeunesse / placement / contact parent-enfant / engagement parental / réadaptation / hébergement / services sociaux",NA,"Réflexion critique"
"communication, résolution de problèmes et satisfaction conjugale","Bélanger, Claude / Marcaurelle, Roger / Lazaridès, Ariane / Gravel Crevier, Myra / Lafontaine, Marie-France",2017,"Autre","couple / conjugalité / satisfaction conjugale / conjoint | conjointe / relation conjugale / communication / résolution de conflit",NA,"Réflexion critique"
"violence conjugale","Lussier, Yvan / Lafontaine, Marie-France / Brassard, Audrey / Sabourin, Stéphane",2017,"Autre","couple / conjugalité / relation conjugale / violence conjugale / violence sexuelle / violence psychologique / violence économique / abus",NA,"Réflexion critique"
"psychological impact of parenting style and acculturation in vietnamese young adults from montreal","Trân, Diêu-Ly",2017,"Thèse/Mémoire","asie / minorité ethnique / autorité parentale / style parental / jeune adulte / estime de soi / détresse psychologique / acculturation","Questionnaire","Analyse statistique"
"the role of parental achievement goals in predicting autonomy-supportive and controlling parenting","Mageau, Geneviève / Bureau, Julien / Ranger, Francis / Allen, Marie-Pier / Soenens, Bart",2016,"Article","montréal / relation mère-enfant / adolescent | adolescente / style parental / contrôle parental / comportement / autonomie","Questionnaire","Analyse statistique"
"intervening with severely and chronically neglected children and their families: the contribution of trauma-informed approaches","Milot, Tristan / St-Laurent, Diane / Éthier, Louise S.",2016,"Article","maltraitance / négligence / ajustement / intervention / traumatisme",NA,"Réflexion critique"
"profils individuels et dynamiques interactionnelles des parents et des enfants à risque daliénation parentale dans un contexte dune rupture conjugale litigieuse","Alary, Brigitte",2016,"Thèse/Mémoire","relation parent-enfant / aliénation parentale / déchéance parentale / garde parentale / expertise / séparation / garde de l’enfant",NA,"Analyse de contenu"
"trajectories of alcohol use and binge drinking among pregnant inuit women","Fortin, Marilyn / Muckle, Gina / Anassour-Laouan-Sidi, Elhadji / Jacobson, Sandra W. / Jacobson, Joseph L. / Bélanger, Richard E.",2016,"Article","alcool / inuit / nord-du-québec / femme / grossesse / syndrome / consommation","Guide d’entretien semi-directif","Analyse statistique"
"revisiter sa famille à travers lutilisation de la sculpture familiale","Douville, Lyne / Lacroix, Jean-Luc",2016,"Article","relation familiale / approche / méthode / intervention / formation",NA,"Réflexion critique"
"les contacts parent-enfant à la suite du placement en famille daccueil, la trajectoire de placement et le fonctionnement socioaffectif de lenfant","Poitras, Karine / Tarabulsy, George M.",2016,"Autre","protection de la jeunesse / droit de la famille / enfant / relation parent-enfant / famille d’accueil / placement / contact parent-enfant",NA,"Réflexion critique"
"les caractéristiques des utilisateurs de sites de socialisation virtuelle : personnalité, attachement et fonctionnement conjugal","Ferron, Anik / Lussier, Yvan / Sabourin, Stéphane / Brassard, Audrey",2016,"Article","couple / infidélité / réseaux sociaux / socialisation / satisfaction conjugale / sexualité","Questionnaires","Analyse statistique"
"prendre des risques jusquà devenir pères? : la sexualité des jeunes contrevenants","Laurier, Catherine / Bériault, Manuelle",2016,"Article","jeune adulte / adolescent | adolescente / homme / grossesse / gang de rue / délinquance / comportement à risque / risque","Questionnaires","Analyse statistique"
"why us? perceived injustice is associated with more sexual and psychological distress in couples coping with genito-pelvic pain","Pâquet, Myriam / Bois, Katy / Rosen, Natalie O. / Mayrand, Marie-Hélène / Charbonneau-Lefebvre, Véronique / Bergeron, Sophie",2016,"Article","satisfaction conjugale / sexualité / douleur / maladie chronique / détresse / dépression","Questionnaire","Analyse statistique"
"daily parenting stress and mood reactivity: the role of sleep quality","Da Estrela, Chelsea",2016,"Thèse/Mémoire","sommeil / stress / attitude parentale / comportement / trouble du spectre de l’autisme | tsa / trouble de l’humeur / relation parent-enfant","Questionnaire","Analyse statistique"
"linking temperament and parenting dimensions to the co-occurrence of internalizing and externalizing disorders in childhood and adolescence","Kingdon, Danielle",2016,"Thèse/Mémoire","comorbidité / enfance / adolescence / anxiété / dépression / influence parentale / pratique parentale",NA,"Analyse statistique"
"predicting externalizing and prosocial behaviors in children from parental use of corporal punishment","Piché, Geneviève / Huỳnh, Christophe / Clément, Marie‐Ève / Durrant, Joan E.",2016,"Article","enfant / agression / violence familiale / comportement / conduite / punition / prosocialité","Questionnaire","Analyse statistique"
"expérience daidant des proches de personnes atteintes dun trouble de la conduite alimentaire : recension critique de la littérature","Blondin, Soline / Meilleur, Dominique",2016,"Article","trouble alimentaire / proche aidant | proche aidante / isolement / vie familiale / professionnel | professionnelle de la santé / soutien",NA,"Réflexion critique"
"identité ethnoculturelle, bien-être psychologique et performance académique de jeunes adultes issus de couples mixtes au québec","Tardieu, Régine",2016,"Thèse/Mémoire","couple mixte / enfant / identité / détresse psychologique / ethnicité / réussite scolaire / montréal","Questionnaires","Analyse statistique"
"associations between mother-child relationship quality and adolescent adjustment: using a genetically controlled design to determine the direction and magnitude of effects","Guimond, Fanny-Alexandre / Laursen, Brett / Vitaro, Frank / Brendgen, Mara / Dionne, Ginette / Boivin, Michel",2016,"Article","relation mère-enfant / adolescent | adolescente / adaptation / dépression / soutien parental","Questionnaires","Analyse statistique"
"ladoption coutumière inuit au nunavik et le comportement de lenfant à lâge scolaire","Decaluwe, Béatrice",2016,"Thèse/Mémoire","nord-du-québec / nunavik / inuit / adoption coutumière / développement de l’enfant / problème de comportement / facteur de risque","Questionnaires","Analyse statistique"
"pratiques parentales coercitives, anxiété et traitement de la peur chez les jeunes en bonne santé : corrélats neuronaux, biologiques, physiologiques et comportementaux","La Buissonnière Ariza, Valérie",2016,"Thèse/Mémoire","pratique parentale / anxiété / peur / jeune / comportement / enfance / autorité parentale / contrôle parental","Questionnaires","Analyse statistique"
"poverty and behavior problems during early childhood: the mediating role of maternal depression symptoms and parenting","Mazza, Julia Rachel / Pingault, Jean-Baptiste / Booij, Linda / Boivin, Michel / Tremblay, Richard / Lambert, Jean / Zunzunegui, Maria Victoria / Côté, Sylvana",2016,"Article","enfant / pauvreté / milieu défavorisé / dysfonction familiale / dépression / mère / comportement","Questionnaires","Analyse statistique"
"lengagement du parent substitut et la qualité de la relation en contexte de placement : des facteurs de protection pour lenfant","Dubois-Comtois, Karine / Cyr, Chantal / St-Onge, Janie / Beauchesne-Sévigny, Olivier",2016,"Autre","protection de la jeunesse / droit de la famille / enfant / relation parent-enfant / placement / famille d’accueil","Guide d’entretien","Analyse de contenu"
"le fonctionnement réflexif maternel et les symptômes intériorisés et extériorisés denfants victimes dune agression sexuelle","Ensink, Karin / Bégin, Michaël / Normandin, Lina / Biberdzic, Marko / Vohl, Geneviève / Fonagy, Peter",2016,"Article","agression sexuelle / trouble intériorisé / trouble extériorisé / attachement / relation mère-enfant","- Questionnaire- Guide d’entretien semi-directif","Analyse statistique"
"poverty and behavior problems trajectories from 1.5 to 8 years of age: is the gap widening between poor and non-poor children?","Mazza, Julie Rachel S. E. / Boivin, Michel / Tremblay, Richard E. / Gregory, Michel / Salla, Julie / Lambert, Jean / Zunzunegui, Maria Victoria / Côté, Sylvana M.",2016,"Article","comportement / pauvreté / faible revenu / hyperactivité / enfant / trajectoire",NA,"Analyse statistique"
"autonomie et expérience de la dépendance chez les personnes âgées ayant subi un traumatisme craniocérébral","Gagnon, Éric / Lacroix, Nadine / Voyer, Manon / Terreau, Paule / Fournier St-Amand, Geneviève / Ouellet, Marie-Christine",2016,"Article","aîné | aînée / proche aidant | proche aidante / soutien familial / réadaptation / autonomie / dépendance / capitale-nationale / traumatisme craniocérébral","Guides d’entretien semi-directif","Analyse de contenu"
"opinions de la population québécoise à légard de la séparation parentale","Saint-Jacques, Marie-Christine / Godbout, Elisabeth / Ivers, Hans",2016,"Article","séparation / divorce / opinion / représentation / tradition / adaptation / parent | parents / intérêt de l’enfant","Questionnaire","Analyse statistique"
"trouble danxiété généralisée à lenfance : développement, maintien et traitement","Racicot, Geneviève",2016,"Thèse/Mémoire","enfant / développement cognitif / vulnérabilité / parent | parents / anxiété / stress / évitement","Questionnaires","Analyse statistique"
"typology of perceived causes of intimate partner violence perpetration in young adults","Guay, Stéphane / Sader, Josette / Boisvert, Jean-Marie / Beaudry, Madeleine",2016,"Article","couple / conjugalité / violence conjugale / violence psychologique / jeune adulte / rapport homme-femme / perception / profil","Questionnaires","Analyse statistique"
"the role of parental achievement goals in predicting autonomy-supportive and controlling parenting","Mageau, Geneviève / Bureau, Julien / Ranger, Francis / Allen, Marie-Pier / Soenens, Bart",2016,"Article","montréal / relation mère-enfant / adolescent | adolescente / style parental / contrôle parental / comportement / autonomie","Questionnaire","Analyse statistique"
"intervening with severely and chronically neglected children and their families: the contribution of trauma-informed approaches","Milot, Tristan / St-Laurent, Diane / Éthier, Louise S.",2016,"Article","maltraitance / négligence / ajustement / intervention / traumatisme",NA,"Réflexion critique"
"profils individuels et dynamiques interactionnelles des parents et des enfants à risque daliénation parentale dans un contexte dune rupture conjugale litigieuse","Alary, Brigitte",2016,"Thèse/Mémoire","relation parent-enfant / aliénation parentale / déchéance parentale / garde parentale / expertise / séparation / garde de l’enfant",NA,"Analyse de contenu"
"trajectories of alcohol use and binge drinking among pregnant inuit women","Fortin, Marilyn / Muckle, Gina / Anassour-Laouan-Sidi, Elhadji / Jacobson, Sandra W. / Jacobson, Joseph L. / Bélanger, Richard E.",2016,"Article","alcool / inuit / nord-du-québec / femme / grossesse / syndrome / consommation","Guide d’entretien semi-directif","Analyse statistique"
"revisiter sa famille à travers lutilisation de la sculpture familiale","Douville, Lyne / Lacroix, Jean-Luc",2016,"Article","relation familiale / approche / méthode / intervention / formation",NA,"Réflexion critique"
"les contacts parent-enfant à la suite du placement en famille daccueil, la trajectoire de placement et le fonctionnement socioaffectif de lenfant","Poitras, Karine / Tarabulsy, George M.",2016,"Autre","protection de la jeunesse / droit de la famille / enfant / relation parent-enfant / famille d’accueil / placement / contact parent-enfant",NA,"Réflexion critique"
"les caractéristiques des utilisateurs de sites de socialisation virtuelle : personnalité, attachement et fonctionnement conjugal","Ferron, Anik / Lussier, Yvan / Sabourin, Stéphane / Brassard, Audrey",2016,"Article","couple / infidélité / réseaux sociaux / socialisation / satisfaction conjugale / sexualité","Questionnaires","Analyse statistique"
"la démarche de clarification du projet de vie permanent : lexpérience des parents","Turcotte, Geneviève / Lord, Marjolaine / Drapeau, Sylvie",2016,"Article","protection de la jeunesse / enfant / programme social / perception / parent | parents / relation parent-intervenant | intervenante / projet de vie","Guide d’entretien semi-directif","Analyse de contenu"
"facteurs de protection et santé sexuelle chez des adolescentes ayant un vécu dagression sexuelle dans lenfance","Lemaître, Mathilde",2016,"Thèse/Mémoire","agression sexuelle / adolescent | adolescente / mère / sexualité / adaptation / soutien familial / soutien social / facteur de protection","Questionnaire","Analyse statistique"
"romantic relationship patterns from adolescence to emerging adulthood: associations with family and peer experiences in early adolescence","Boisvert, Stéphanie / Poulin, François",2016,"Article","attachement / partenaire / relation amoureuse / intimité / influence familiale / relation parent-enfant / adolescence","Questionnaire","Analyse statistique"
"le soutien social perçu chez les pères impliqués dans une problématique de négligence","Côté, Denise / Lacharité, Carl",2016,"Article","père / paternité / soutien / négligence / soutien social / protection de la jeunesse","- Guide d’entretien semi-directif- Questionnaires","Analyse de contenuAnalyse statistique"
"accompagner les pères en contextes de vulnérabilité : des services au rendez-vous, adéquats et efficaces","Dubeau, Diane / De Montigny, Francine / Devault, Annie / Lacharité, Carl / Turcotte, Geneviève",2016,"Article","père / paternité / programme social / prévention / relation père-enfant / vulnérabilité",NA,"Analyse de contenuAnalyse statistique"
"regard mixte sur certaines particularités et retombées de lapproche dans la pédiatrie sociale telle quimplantée au québec et sur son intégration dans le système actuel des services sociaux et de santé","Clément, Marie-Ève / Moreau, Jacques / Gendron, Sylvie / Lavergne, Chantal / Turcotte, Geneviève / Piché, Anne-Marie / Bérubé, Annie / Pagé, Geneviève / Gagné, Marie-Hélène / Alain, Marc / Hassan, Ghayda / De Montigny, Francine / St-Arnaud, Annick",2016,"Autre","pédiatrie sociale / bien-être / développement de l’enfant / compétence parentale / stress parental / trajectoire / relation parent-enfant","- Questionnaires- Guide d’entretien semi-directif","Analyse de contenu"
"expériences habilitantes et développement du pouvoir dagir des familles de jeunes enfants en crdited","Girard, Karoline",2016,"Thèse/Mémoire","intervention / parent | parents / développement / adaptation / engagement / milieu familial / enfance / empowerment","- Questionnaire- Guide d’entretien semi-directif","Analyse de contenuAnalyse statistique"
"le modèle de la pédiatrie sociale en communauté et ses retombées sur le bien-être des familles : une étude pilote","Clément, Marie-Ève / Bérubé, Annie / Moreau, Jacques",2016,"Article","pédiatrie sociale / prévention / intervention psychosociale / développement de l’enfant / bien-être / service","- Guide d’entretien semi-directif- Questionnaires","Analyse de contenuAnalyse statistique"
"la vie conjugale et les réorganisations familiales","Parent, Claudine / Saint-Jacques, Marie-Christine / Drapeau, Sylvie / Fortin, Marie-Christine / Beaudry, Madeleine",2016,"Autre","conjugalité / parentalité / recomposition / séparation / rupture / adaptation / transition / coparentalité",NA,"Réflexion critique"
"modèle théorique hypothétique du perfectionnisme des étudiants universitaires","Finn, Kathleen",2016,"Article","performance / jeune adulte / comportement / influence familiale / perception / parent | parents / environnement familial",NA,"Analyse théorique"
"the emergence of psychopathic traits: examining a temperament x environment interaction","Gorin, Hillary",2016,"Thèse/Mémoire","petite enfance / psychopathie / attitude parentale / influence parentale / parentalité / environnement familial / développement de l’enfant",NA,"Analyse statistique"
"les pratiques dorganismes communautaires famille de québec : un parcours collectif. rapport final dévaluation du projet agora 2011-2015","Lacharité, Carl / Gagnier, Jean-Pierre / Baker, Marleen / Mailloux, Dominique / Côté, Louisane / Déziel, Nicole / Rasmussen, Hanny / Poirier, Judith / Abou-El-Aazm, Amel",2016,"Autre","organisme communautaire / évaluation / recommandation / pratique sociale / vulnérabilité / famille recomposée / intervention familiale","- Guide d’entretien semi-directif- Guide d’entretien de groupe","Analyse de contenu"
"personal and familial predictors of peer victimization trajectories from primary to secondary school","Brendgen, Mara / Girard, Alain / Vitaro, Frank / Dionne, Ginette / Boivin, Michel",2016,"Article","victimisation / trajectoire / école primaire / école secondaire / caractéristique familiale / soutien familial / conflit / relation parent-enfant","Questionnaires","Analyse statistique"
"symptomatologie conjugale et sexuelle chez des survivants dagression sexuelle à lenfance","Vaillancourt-Morel, Marie-Pier",2016,"Thèse/Mémoire","agression sexuelle / enfance / conjugalité / ajustement / couple / relation sexuelle / évitement / problème conjugal","Questionnaires","Analyse statistique"
"intimacy, sexual satisfaction and sexual distress in vulvodynia couples: an observational study","Bois, Katy / Bergeron, Sophie / Rosen, Natalie O. / Mayrand, Marie-Hélène / Brassard, Audrey / Sadikaj, Gentiana",2016,"Article","couple / satisfaction conjugale / communication / maladie chronique / douleur / sexualité / détresse / empathie","- Questionnaires- Grille d’observation","Analyse statistique"
